IPL_EDITION,DATE,TEAM1,TEAM2,WINNER,RESULT,RESULT_MARGIN
2010,2010-03-25,"Royal Challengers Bangalore","Delhi Daredevils","Delhi Daredevils",runs,17
2010,2010-03-28,"Deccan Chargers","Mumbai Indians","Mumbai Indians",runs,41
2010,2010-03-29,"Delhi Daredevils","Kolkata Knight Riders","Delhi Daredevils",runs,40
2010,2010-03-30,"Mumbai Indians","Kings XI Punjab","Mumbai Indians",wickets,4
2010,2010-03-31,"Delhi Daredevils","Rajasthan Royals","Delhi Daredevils",runs,67
2010,2010-04-01,"Kolkata Knight Riders","Deccan Chargers","Kolkata Knight Riders",runs,24
2010,2010-04-03,"Mumbai Indians","Deccan Chargers","Mumbai Indians",runs,63
2010,2010-04-04,"Kolkata Knight Riders","Kings XI Punjab","Kings XI Punjab",wickets,8
2010,2010-04-04,"Delhi Daredevils","Royal Challengers Bangalore","Delhi Daredevils",runs,37
2010,2010-04-07,"Rajasthan Royals","Kings XI Punjab","Rajasthan Royals",wickets,9
2010,2010-04-07,"Kolkata Knight Riders","Delhi Daredevils","Kolkata Knight Riders",runs,14
2010,2010-04-08,"Royal Challengers Bangalore","Deccan Chargers","Deccan Chargers",wickets,7
2010,2010-04-10,"Royal Challengers Bangalore","Kolkata Knight Riders","Royal Challengers Bangalore",wickets,7
2010,2010-04-11,"Delhi Daredevils","Kings XI Punjab","Kings XI Punjab",wickets,7
2010,2010-04-11,"Rajasthan Royals","Mumbai Indians","Mumbai Indians",runs,37
2010,2010-04-13,"Mumbai Indians","Delhi Daredevils","Mumbai Indians",runs,39
2010,2010-04-14,"Rajasthan Royals","Royal Challengers Bangalore","Royal Challengers Bangalore",wickets,5
2010,2010-04-16,"Kings XI Punjab","Deccan Chargers","Deccan Chargers",wickets,5
2010,2010-04-17,"Royal Challengers Bangalore","Mumbai Indians","Mumbai Indians",runs,57
2010,2010-04-17,"Kolkata Knight Riders","Rajasthan Royals","Kolkata Knight Riders",wickets,8
2010,2010-04-18,"Kings XI Punjab","Chennai Super Kings","Chennai Super Kings",wickets,6
2010,2010-04-18,"Delhi Daredevils","Deccan Chargers","Deccan Chargers",runs,11
2010,2010-04-19,"Kolkata Knight Riders","Mumbai Indians","Kolkata Knight Riders",wickets,9
2010,2010-04-21,"Royal Challengers Bangalore","Mumbai Indians","Mumbai Indians",runs,35
2010,2010-04-22,"Chennai Super Kings","Deccan Chargers","Chennai Super Kings",runs,38
2010,2010-04-24,"Royal Challengers Bangalore","Deccan Chargers","Royal Challengers Bangalore",wickets,9
2010,2010-04-25,"Chennai Super Kings","Mumbai Indians","Chennai Super Kings",runs,22
2011,2011-04-09,"Kochi Tuskers Kerala","Royal Challengers Bangalore","Royal Challengers Bangalore",wickets,6
2011,2011-04-10,"Delhi Daredevils","Mumbai Indians","Mumbai Indians",wickets,8
2011,2011-04-10,"Pune Warriors","Kings XI Punjab","Pune Warriors",wickets,7
2011,2011-04-11,"Kolkata Knight Riders","Deccan Chargers","Kolkata Knight Riders",runs,9
2011,2011-04-12,"Rajasthan Royals","Delhi Daredevils","Rajasthan Royals",wickets,6
2011,2011-04-12,"Royal Challengers Bangalore","Mumbai Indians","Mumbai Indians",wickets,9
2011,2011-04-13,"Pune Warriors","Kochi Tuskers Kerala","Pune Warriors",wickets,4
2011,2011-04-15,"Rajasthan Royals","Kolkata Knight Riders","Kolkata Knight Riders",wickets,9
2011,2011-04-15,"Mumbai Indians","Kochi Tuskers Kerala","Kochi Tuskers Kerala",wickets,8
2011,2011-04-17,"Pune Warriors","Delhi Daredevils","Delhi Daredevils",wickets,3
2011,2011-04-17,"Kolkata Knight Riders","Rajasthan Royals","Kolkata Knight Riders",wickets,8
2011,2011-04-18,"Kochi Tuskers Kerala","Chennai Super Kings","Kochi Tuskers Kerala",wickets,7
2011,2011-04-19,"Delhi Daredevils","Deccan Chargers","Deccan Chargers",runs,16
2011,2011-04-20,"Mumbai Indians","Pune Warriors","Mumbai Indians",wickets,7
2011,2011-04-20,"Kolkata Knight Riders","Kochi Tuskers Kerala","Kochi Tuskers Kerala",runs,6
2011,2011-04-22,"Mumbai Indians","Chennai Super Kings","Mumbai Indians",runs,8
2011,2011-04-22,"Kolkata Knight Riders","Royal Challengers Bangalore","Royal Challengers Bangalore",wickets,9
2011,2011-04-23,"Delhi Daredevils","Kings XI Punjab","Delhi Daredevils",runs,29
2011,2011-04-24,"Rajasthan Royals","Kochi Tuskers Kerala","Rajasthan Royals",wickets,8
2011,2011-04-26,"Delhi Daredevils","Royal Challengers Bangalore","Royal Challengers Bangalore",wickets,3
2011,2011-04-27,"Pune Warriors","Chennai Super Kings","Chennai Super Kings",wickets,8
2011,2011-04-27,"Kochi Tuskers Kerala","Deccan Chargers","Deccan Chargers",runs,55
2011,2011-04-28,"Delhi Daredevils","Kolkata Knight Riders","Kolkata Knight Riders",runs,17
2011,2011-04-29,"Rajasthan Royals","Mumbai Indians","Rajasthan Royals",wickets,7
2011,2011-04-29,"Royal Challengers Bangalore","Pune Warriors","Royal Challengers Bangalore",runs,26
2011,2011-04-30,"Kochi Tuskers Kerala","Delhi Daredevils","Delhi Daredevils",runs,38
2011,2011-04-30,"Kolkata Knight Riders","Kings XI Punjab","Kolkata Knight Riders",wickets,8
2011,2011-05-01,"Rajasthan Royals","Pune Warriors","Rajasthan Royals",wickets,6
2011,2011-05-02,"Mumbai Indians","Kings XI Punjab","Mumbai Indians",runs,23
2011,2011-05-02,"Delhi Daredevils","Kochi Tuskers Kerala","Kochi Tuskers Kerala",wickets,7
2011,2011-05-04,"Pune Warriors","Mumbai Indians","Mumbai Indians",runs,21
2011,2011-05-05,"Kochi Tuskers Kerala","Kolkata Knight Riders","Kochi Tuskers Kerala",runs,17
2011,2011-05-06,"Royal Challengers Bangalore","Kings XI Punjab","Royal Challengers Bangalore",runs,85
2011,2011-05-07,"Kolkata Knight Riders","Chennai Super Kings","Kolkata Knight Riders",runs,10
2011,2011-05-07,"Mumbai Indians","Delhi Daredevils","Mumbai Indians",runs,32
2011,2011-05-08,"Royal Challengers Bangalore","Kochi Tuskers Kerala","Royal Challengers Bangalore",wickets,9
2011,2011-05-09,"Rajasthan Royals","Chennai Super Kings","Chennai Super Kings",runs,63
2011,2011-05-11,"Rajasthan Royals","Royal Challengers Bangalore","Royal Challengers Bangalore",wickets,9
2011,2011-05-13,"Kochi Tuskers Kerala","Kings XI Punjab","Kings XI Punjab",wickets,6
2011,2011-05-14,"Royal Challengers Bangalore","Kolkata Knight Riders","Royal Challengers Bangalore",wickets,4
2011,2011-05-14,"Mumbai Indians","Deccan Chargers","Deccan Chargers",runs,10
2011,2011-05-15,"Kings XI Punjab","Delhi Daredevils","Kings XI Punjab",runs,29
2011,2011-05-15,"Kochi Tuskers Kerala","Rajasthan Royals","Kochi Tuskers Kerala",wickets,8
2011,2011-05-16,"Pune Warriors","Deccan Chargers","Deccan Chargers",wickets,6
2011,2011-05-17,"Kings XI Punjab","Royal Challengers Bangalore","Kings XI Punjab",runs,111
2011,2011-05-19,"Pune Warriors","Kolkata Knight Riders","Kolkata Knight Riders",wickets,7
2011,2011-05-20,"Mumbai Indians","Rajasthan Royals","Rajasthan Royals",wickets,10
2011,2011-05-21,"Kings XI Punjab","Deccan Chargers","Deccan Chargers",runs,82
2011,2011-05-21,"Delhi Daredevils","Pune Warriors","No Result","No Result",0
2011,2011-05-22,"Royal Challengers Bangalore","Chennai Super Kings","Royal Challengers Bangalore",wickets,8
2011,2011-05-22,"Kolkata Knight Riders","Mumbai Indians","Mumbai Indians",wickets,5
2011,2011-05-24,"Royal Challengers Bangalore","Chennai Super Kings","Chennai Super Kings",wickets,6
2011,2011-05-25,"Mumbai Indians","Kolkata Knight Riders","Mumbai Indians",wickets,4
2012,2012-04-05,"Kolkata Knight Riders","Delhi Daredevils","Delhi Daredevils",wickets,8
2012,2012-04-06,"Mumbai Indians","Pune Warriors","Pune Warriors",runs,28
2012,2012-04-06,"Rajasthan Royals","Kings XI Punjab","Rajasthan Royals",runs,31
2012,2012-04-07,"Royal Challengers Bangalore","Delhi Daredevils","Royal Challengers Bangalore",runs,20
2012,2012-04-07,"Deccan Chargers","Chennai Super Kings","Chennai Super Kings",runs,74
2012,2012-04-08,"Rajasthan Royals","Kolkata Knight Riders","Rajasthan Royals",runs,22
2012,2012-04-08,"Pune Warriors","Kings XI Punjab","Pune Warriors",runs,22
2012,2012-04-09,"Deccan Chargers","Mumbai Indians","Mumbai Indians",wickets,5
2012,2012-04-10,"Royal Challengers Bangalore","Kolkata Knight Riders","Kolkata Knight Riders",runs,42
2012,2012-04-10,"Delhi Daredevils","Chennai Super Kings","Delhi Daredevils",wickets,8
2012,2012-04-11,"Mumbai Indians","Rajasthan Royals","Mumbai Indians",runs,27
2012,2012-04-13,"Kolkata Knight Riders","Rajasthan Royals","Kolkata Knight Riders",wickets,5
2012,2012-04-19,"Delhi Daredevils","Deccan Chargers","Delhi Daredevils",wickets,5
2012,2012-04-14,"Pune Warriors","Chennai Super Kings","Pune Warriors",wickets,7
2012,2012-04-15,"Kolkata Knight Riders","Kings XI Punjab","Kings XI Punjab",runs,2
2012,2012-04-15,"Royal Challengers Bangalore","Rajasthan Royals","Rajasthan Royals",runs,59
2012,2012-04-16,"Mumbai Indians","Delhi Daredevils","Delhi Daredevils",wickets,7
2012,2012-04-17,"Rajasthan Royals","Deccan Chargers","Rajasthan Royals",wickets,5
2012,2012-04-17,"Royal Challengers Bangalore","Pune Warriors","Royal Challengers Bangalore",wickets,6
2012,2012-04-21,"Delhi Daredevils","Pune Warriors","Pune Warriors",runs,20
2012,2012-04-22,"Mumbai Indians","Kings XI Punjab","Kings XI Punjab",wickets,6
2012,2012-04-22,"Deccan Chargers","Kolkata Knight Riders","Kolkata Knight Riders",wickets,5
2012,2012-04-23,"Rajasthan Royals","Royal Challengers Bangalore","Royal Challengers Bangalore",runs,46
2012,2012-04-24,"Pune Warriors","Delhi Daredevils","Delhi Daredevils",wickets,8
2012,2012-04-26,"Pune Warriors","Deccan Chargers","Deccan Chargers",runs,18
2012,2012-04-27,"Delhi Daredevils","Mumbai Indians","Delhi Daredevils",runs,37
2012,2012-04-28,"Kolkata Knight Riders","Royal Challengers Bangalore","Kolkata Knight Riders",runs,47
2012,2012-04-29,"Delhi Daredevils","Rajasthan Royals","Delhi Daredevils",runs,1
2012,2012-04-29,"Mumbai Indians","Deccan Chargers","Mumbai Indians",wickets,5
2012,2012-05-01,"Deccan Chargers","Pune Warriors","Deccan Chargers",runs,13
2012,2012-05-01,"Rajasthan Royals","Delhi Daredevils","Delhi Daredevils",wickets,6
2012,2012-05-02,"Royal Challengers Bangalore","Kings XI Punjab","Kings XI Punjab",wickets,4
2012,2012-05-03,"Pune Warriors","Mumbai Indians","Mumbai Indians",runs,1
2012,2012-05-05,"Kolkata Knight Riders","Pune Warriors","Kolkata Knight Riders",runs,7
2012,2012-05-06,"Mumbai Indians","Chennai Super Kings","Mumbai Indians",wickets,2
2012,2012-05-06,"Royal Challengers Bangalore","Deccan Chargers","Royal Challengers Bangalore",wickets,5
2012,2012-05-07,"Delhi Daredevils","Kolkata Knight Riders","Kolkata Knight Riders",wickets,6
2012,2012-05-08,"Pune Warriors","Rajasthan Royals","Rajasthan Royals",wickets,7
2012,2012-05-09,"Mumbai Indians","Royal Challengers Bangalore","Royal Challengers Bangalore",wickets,9
2012,2012-05-10,"Rajasthan Royals","Chennai Super Kings","Chennai Super Kings",wickets,4
2012,2012-05-11,"Pune Warriors","Royal Challengers Bangalore","Royal Challengers Bangalore",runs,35
2012,2012-05-12,"Kolkata Knight Riders","Mumbai Indians","Mumbai Indians",runs,27
2012,2012-05-13,"Rajasthan Royals","Pune Warriors","Rajasthan Royals",runs,45
2012,2012-05-14,"Royal Challengers Bangalore","Mumbai Indians","Mumbai Indians",wickets,5
2012,2012-05-14,"Kolkata Knight Riders","Chennai Super Kings","Chennai Super Kings",wickets,5
2012,2012-05-15,"Delhi Daredevils","Kings XI Punjab","Delhi Daredevils",wickets,5
2012,2012-05-16,"Mumbai Indians","Kolkata Knight Riders","Kolkata Knight Riders",runs,32
2012,2012-05-17,"Kings XI Punjab","Chennai Super Kings","Kings XI Punjab",wickets,6
2012,2012-05-17,"Delhi Daredevils","Royal Challengers Bangalore","Royal Challengers Bangalore",runs,21
2012,2012-05-19,"Kings XI Punjab","Delhi Daredevils","Delhi Daredevils",wickets,6
2012,2012-05-19,"Pune Warriors","Kolkata Knight Riders","Kolkata Knight Riders",runs,34
2012,2012-05-20,"Rajasthan Royals","Mumbai Indians","Mumbai Indians",wickets,10
2012,2012-05-22,"Delhi Daredevils","Kolkata Knight Riders","Kolkata Knight Riders",runs,18
2012,2012-05-23,"Chennai Super Kings","Mumbai Indians","Chennai Super Kings",runs,38
2013,2013-04-03,"Kolkata Knight Riders","Delhi Daredevils","Kolkata Knight Riders",wickets,6
2013,2013-04-04,"Royal Challengers Bangalore","Mumbai Indians","Royal Challengers Bangalore",runs,2
2013,2013-04-06,"Delhi Daredevils","Rajasthan Royals","Rajasthan Royals",runs,5
2013,2013-04-07,"Pune Warriors","Kings XI Punjab","Kings XI Punjab",wickets,8
2013,2013-04-08,"Rajasthan Royals","Kolkata Knight Riders","Rajasthan Royals",runs,19
2013,2013-04-09,"Mumbai Indians","Delhi Daredevils","Mumbai Indians",runs,44
2013,2013-04-11,"Royal Challengers Bangalore","Kolkata Knight Riders","Royal Challengers Bangalore",wickets,8
2013,2013-04-11,"Pune Warriors","Rajasthan Royals","Pune Warriors",wickets,7
2013,2013-04-12,"Delhi Daredevils","Sunrisers Hyderabad","Sunrisers Hyderabad",wickets,3
2013,2013-04-13,"Mumbai Indians","Pune Warriors","Mumbai Indians",runs,41
2013,2013-04-14,"Kolkata Knight Riders","Sunrisers Hyderabad","Kolkata Knight Riders",runs,48
2013,2013-04-14,"Rajasthan Royals","Kings XI Punjab","Rajasthan Royals",wickets,6
2013,2013-04-16,"Royal Challengers Bangalore","Delhi Daredevils","Royal Challengers Bangalore",tie,0
2013,2013-04-17,"Pune Warriors","Sunrisers Hyderabad","Sunrisers Hyderabad",runs,11
2013,2013-04-17,"Rajasthan Royals","Mumbai Indians","Rajasthan Royals",runs,87
2013,2013-04-18,"Delhi Daredevils","Chennai Super Kings","Chennai Super Kings",runs,86
2013,2013-04-20,"Kolkata Knight Riders","Chennai Super Kings","Chennai Super Kings",wickets,4
2013,2013-04-20,"Royal Challengers Bangalore","Rajasthan Royals","Royal Challengers Bangalore",wickets,7
2013,2013-04-21,"Delhi Daredevils","Mumbai Indians","Delhi Daredevils",wickets,9
2013,2013-04-23,"Royal Challengers Bangalore","Pune Warriors","Royal Challengers Bangalore",runs,130
2013,2013-05-16,"Kings XI Punjab","Delhi Daredevils","Kings XI Punjab",runs,7
2013,2013-04-24,"Kolkata Knight Riders","Mumbai Indians","Mumbai Indians",wickets,5
2013,2013-04-26,"Kolkata Knight Riders","Kings XI Punjab","Kolkata Knight Riders",wickets,6
2013,2013-04-27,"Rajasthan Royals","Sunrisers Hyderabad","Rajasthan Royals",wickets,8
2013,2013-04-27,"Mumbai Indians","Royal Challengers Bangalore","Mumbai Indians",runs,58
2013,2013-04-28,"Delhi Daredevils","Pune Warriors","Delhi Daredevils",runs,15
2013,2013-04-29,"Rajasthan Royals","Royal Challengers Bangalore","Rajasthan Royals",wickets,4
2013,2013-04-29,"Mumbai Indians","Kings XI Punjab","Mumbai Indians",runs,4
2013,2013-04-30,"Pune Warriors","Chennai Super Kings","Chennai Super Kings",runs,37
2013,2013-05-01,"Delhi Daredevils","Kolkata Knight Riders","Delhi Daredevils",wickets,7
2013,2013-05-02,"Pune Warriors","Royal Challengers Bangalore","Royal Challengers Bangalore",runs,17
2013,2013-05-03,"Kolkata Knight Riders","Rajasthan Royals","Kolkata Knight Riders",wickets,8
2013,2013-05-14,"Royal Challengers Bangalore","Kings XI Punjab","Kings XI Punjab",wickets,7
2013,2013-05-05,"Mumbai Indians","Chennai Super Kings","Mumbai Indians",runs,60
2013,2013-05-05,"Rajasthan Royals","Pune Warriors","Rajasthan Royals",wickets,5
2013,2013-04-09,"Royal Challengers Bangalore","Sunrisers Hyderabad","Royal Challengers Bangalore",wickets,7
2013,2013-05-07,"Rajasthan Royals","Delhi Daredevils","Rajasthan Royals",wickets,9
2013,2013-05-07,"Mumbai Indians","Kolkata Knight Riders","Mumbai Indians",runs,65
2013,2013-05-09,"Pune Warriors","Kolkata Knight Riders","Kolkata Knight Riders",runs,46
2013,2013-05-10,"Delhi Daredevils","Royal Challengers Bangalore","Royal Challengers Bangalore",runs,4
2013,2013-05-11,"Pune Warriors","Mumbai Indians","Mumbai Indians",wickets,5
2013,2013-05-12,"Kolkata Knight Riders","Royal Challengers Bangalore","Kolkata Knight Riders",wickets,5
2013,2013-05-12,"Rajasthan Royals","Chennai Super Kings","Rajasthan Royals",wickets,5
2013,2013-04-23,"Delhi Daredevils","Kings XI Punjab","Kings XI Punjab",wickets,5
2013,2013-05-13,"Mumbai Indians","Sunrisers Hyderabad","Mumbai Indians",wickets,7
2013,2013-05-15,"Kolkata Knight Riders","Pune Warriors","Pune Warriors",runs,7
2013,2013-05-15,"Mumbai Indians","Rajasthan Royals","Mumbai Indians",runs,14
2013,2013-05-18,"Kings XI Punjab","Mumbai Indians","Kings XI Punjab",runs,50
