IPL_EDITION,VENUE,CITY,DATES,TEAM1_IRRESPECTIVE_OF_INNING,TEAM2_IRRESPECTIVE_OF_INNING,FIRST_INNING,SECOND_INNING,WINNING_TEAM,MOM
2011,"Dr DY Patil Sports Academy",Mumbai,2011-04-17,"Pune Warriors","Delhi Daredevils",187/5,190/7,"Delhi Daredevils","Yuvraj Singh"
2011,"Eden Gardens",Kolkata,2011-04-17,"Kolkata Knight Riders","Rajasthan Royals",81/10,85/2,"Kolkata Knight Riders","L Balaji"
2011,"Nehru Stadium",Kochi,2011-04-18,"Kochi Tuskers Kerala","Chennai Super Kings",131/4,135/3,"Kochi Tuskers Kerala","BB McCullum"
2011,"Feroz Shah Kotla",Delhi,2011-04-19,"Delhi Daredevils","Deccan Chargers",168/4,152/7,"Deccan Chargers","S Sohal"
2011,"Wankhede Stadium",Mumbai,2011-04-20,"Mumbai Indians","Pune Warriors",118/10,124/3,"Mumbai Indians","MM Patel"
2011,"Eden Gardens",Kolkata,2011-04-20,"Kolkata Knight Riders","Kochi Tuskers Kerala",132/7,126/9,"Kochi Tuskers Kerala","DPMD Jayawardene"
2011,"Wankhede Stadium",Mumbai,2011-04-22,"Mumbai Indians","Chennai Super Kings",164/4,156/9,"Mumbai Indians","Harbhajan Singh"
2011,"Eden Gardens",Kolkata,2011-04-22,"Kolkata Knight Riders","Royal Challengers Bangalore",171/5,175/1,"Royal Challengers Bangalore","CH Gayle"
2011,"Feroz Shah Kotla",Delhi,2011-04-23,"Delhi Daredevils","Kings XI Punjab",231/4,202/6,"Delhi Daredevils","DA Warner"
2011,"Sawai Mansingh Stadium",Jaipur,2011-04-24,"Rajasthan Royals","Kochi Tuskers Kerala",109/10,111/2,"Rajasthan Royals","SK Warne"
2011,"Feroz Shah Kotla",Delhi,2011-04-26,"Delhi Daredevils","Royal Challengers Bangalore",160/6,161/7,"Royal Challengers Bangalore","V Kohli"
2011,"Dr DY Patil Sports Academy",Mumbai,2011-04-27,"Pune Warriors","Chennai Super Kings",141/6,145/2,"Chennai Super Kings","DE Bollinger"
2011,"Nehru Stadium",Kochi,2011-04-27,"Kochi Tuskers Kerala","Deccan Chargers",129/7,74/10,"Deccan Chargers","I Sharma"
2011,"Feroz Shah Kotla",Delhi,2011-04-28,"Delhi Daredevils","Kolkata Knight Riders",148/7,131/9,"Kolkata Knight Riders","MK Tiwary"
2011,"Sawai Mansingh Stadium",Jaipur,2011-04-29,"Rajasthan Royals","Mumbai Indians",94/8,95/3,"Rajasthan Royals","J Botha"
2011,"M Chinnaswamy Stadium",Bangalore,2011-04-29,"Royal Challengers Bangalore","Pune Warriors",181/5,155/5,"Royal Challengers Bangalore","V Kohli"
2011,"Nehru Stadium",Kochi,2011-04-30,"Kochi Tuskers Kerala","Delhi Daredevils",157/7,119/10,"Delhi Daredevils","V Sehwag"
2011,"Eden Gardens",Kolkata,2011-04-30,"Kolkata Knight Riders","Kings XI Punjab",119/6,120/2,"Kolkata Knight Riders","Iqbal Abdulla"
2011,"Sawai Mansingh Stadium",Jaipur,2011-05-01,"Rajasthan Royals","Pune Warriors",143/7,144/4,"Rajasthan Royals","LRPL Taylor"
2011,"Wankhede Stadium",Mumbai,2011-05-02,"Mumbai Indians","Kings XI Punjab",159/5,136/8,"Mumbai Indians","KA Pollard"
2011,"Feroz Shah Kotla",Delhi,2011-05-02,"Delhi Daredevils","Kochi Tuskers Kerala",140/6,141/3,"Kochi Tuskers Kerala","P Parameswaran"
